7168	-0.8091603053435115,-0.7022900763358778,-0.17557251908396945,-0.19189453125,-0.9580078125,0.058349609375
20992	0.40458015267175573,0.48091603053435117,-0.16030534351145037,-0.1630859375,-0.947021484375,0.047119140625
35328	-0.26717557251908397,0.4961832061068702,-0.11450381679389313,-0.174072265625,-0.947265625,0.064697265625
49664	-0.2900763358778626,1.213740458015267,-0.7022900763358778,-0.16845703125,-0.964111328125,0.061279296875
62976	0.022900763358778626,0.9465648854961832,-0.6641221374045801,-0.1728515625,-0.964111328125,0.03857421875
77312	-0.25190839694656486,0.030534351145038167,0.11450381679389313,-0.165283203125,-0.976806640625,0.077392578125
91648	-0.4198473282442748,0.4198473282442748,-0.11450381679389313,-0.165771484375,-0.96044921875,0.03515625
104960	-0.1450381679389313,0.5343511450381679,-0.46564885496183206,-0.15869140625,-0.94921875,0.028076171875
119296	-0.24427480916030533,0.13740458015267176,-0.06870229007633588,-0.173095703125,-0.9658203125,0.026611328125
132608	-0.3969465648854962,-0.22137404580152673,-1.9541984732824427,-0.16015625,-0.95751953125,0.033203125
147968	-0.1450381679389313,-0.06870229007633588,0.16793893129770993,-0.15234375,-0.959716796875,0.033935546875
162304	-0.5190839694656488,0.3893129770992366,-0.0916030534351145,-0.17626953125,-0.95849609375,0.05029296875
176128	-0.4961832061068702,0.15267175572519084,-0.26717557251908397,-0.163818359375,-0.964599609375,0.024658203125
192512	-0.21374045801526717,-0.9618320610687023,0.04580152671755725,-0.150390625,-0.9609375,0.0302734375
203776	-0.3893129770992366,-0.40458015267175573,-0.11450381679389313,-0.16015625,-0.96533203125,0.047119140625
217088	-0.35877862595419846,0.25190839694656486,0.007633587786259542,-0.159423828125,-0.965087890625,0.040771484375
231424	-0.5343511450381679,0.183206106870229,-0.13740458015267176,-0.178955078125,-0.973876953125,0.0400390625
244736	-0.37404580152671757,0.32061068702290074,-0.21374045801526717,-0.169677734375,-0.9609375,0.042724609375
259072	-0.6335877862595419,0.33587786259541985,-0.21374045801526717,-0.174072265625,-0.9677734375,0.02734375
273408	-0.061068702290076333,-0.022900763358778626,-0.12213740458015267,-0.16162109375,-0.962158203125,0.002685546875
286720	-0.12213740458015267,-0.40458015267175573,-0.25190839694656486,-0.151123046875,-0.96240234375,0.040283203125
300032	-0.11450381679389313,0.15267175572519084,-0.12213740458015267,-0.158447265625,-0.9638671875,0.021484375
314368	-0.4961832061068702,-0.1450381679389313,0.030534351145038167,-0.168212890625,-0.959716796875,0.0390625
328704	-0.3435114503816794,-0.16030534351145037,-0.09923664122137404,-0.167724609375,-0.959228515625,0.028076171875
342016	-0.33587786259541985,0.2595419847328244,0.04580152671755725,-0.17919921875,-0.97119140625,0.046142578125
355840	-0.29770992366412213,0.7938931297709924,-0.15267175572519084,-0.17431640625,-0.956298828125,0.029541015625
369664	-0.4961832061068702,0.6870229007633588,-0.10687022900763359,-0.202880859375,-0.963623046875,0.02880859375
384512	-0.549618320610687,-0.25190839694656486,-0.007633587786259542,-0.194091796875,-0.972900390625,0.018310546875
398848	-0.183206106870229,0.16030534351145037,0.015267175572519083,-0.195068359375,-0.946044921875,0.023193359375
412160	-0.15267175572519084,0.46564885496183206,-0.29770992366412213,-0.201171875,-0.938720703125,0.035400390625
425984	-0.20610687022900764,-0.030534351145038167,-0.2595419847328244,-0.187744140625,-0.951904296875,0.046875
439808	-0.366412213740458,0.06870229007633588,-0.11450381679389313,-0.177978515625,-0.938232421875,0.0576171875
454656	-0.3053435114503817,-0.1450381679389313,-0.2595419847328244,-0.1962890625,-0.96142578125,0.046630859375
468992	-0.37404580152671757,0.0916030534351145,-0.21374045801526717,-0.206787109375,-0.950439453125,0.043212890625
483328	-0.45038167938931295,0.04580152671755725,0.11450381679389313,-0.194580078125,-0.963134765625,0.04052734375
497152	-0.3282442748091603,0.16793893129770993,-0.16793893129770993,-0.197509765625,-0.952392578125,0.04443359375
510464	-0.3053435114503817,0.08396946564885496,-0.2366412213740458,-0.200439453125,-0.942626953125,0.03173828125
524800	-0.21374045801526717,-0.5725190839694656,-0.030534351145038167,-0.183837890625,-0.959228515625,0.03662109375
538624	-0.1297709923664122,0.07633587786259542,-0.15267175572519084,-0.193603515625,-0.956787109375,0.044189453125
553472	-0.2900763358778626,0.2824427480916031,-0.09923664122137404,-0.185546875,-0.952392578125,0.04638671875
567296	-0.04580152671755725,0.17557251908396945,-0.21374045801526717,-0.191650390625,-0.9560546875,0.051513671875
582144	-0.33587786259541985,-0.1297709923664122,-0.015267175572519083,-0.166748046875,-0.95654296875,0.03515625
596992	-0.3282442748091603,-0.06870229007633588,-0.1297709923664122,-0.17236328125,-0.96435546875,0.07275390625
609280	0.35877862595419846,-0.9923664122137404,0.1450381679389313,-0.190185546875,-0.948486328125,0.0888671875
623616	-0.5343511450381679,0.6564885496183206,-0.24427480916030533,-0.20947265625,-0.940673828125,0.0712890625
637440	-0.3282442748091603,0.6793893129770993,-0.2595419847328244,-0.201171875,-0.95751953125,0.04638671875
651776	-0.6412213740458015,0.32061068702290074,-0.4122137404580153,-0.191650390625,-0.968505859375,0.060791015625
665088	-0.1984732824427481,0.09923664122137404,-0.07633587786259542,-0.19677734375,-0.942626953125,0.03466796875
665088	-0.29770992366412213,-0.2748091603053435,0.4351145038167939,-0.1865234375,-0.9482421875,0.0576171875
665088	-0.3435114503816794,0.12213740458015267,-0.183206106870229,-0.195556640625,-0.94921875,0.049560546875
681984	-0.45038167938931295,0.6870229007633588,-0.3435114503816794,-0.201171875,-0.93798828125,0.055419921875
681984	-0.4580152671755725,-0.16030534351145037,0.04580152671755725,-0.196533203125,-0.950439453125,0.072021484375
681984	-0.4122137404580153,0.08396946564885496,-0.31297709923664124,-0.200927734375,-0.967041015625,0.050048828125
721920	-0.3282442748091603,0.2748091603053435,-0.15267175572519084,-0.17919921875,-0.956298828125,0.06103515625
765440	0.0916030534351145,0.10687022900763359,0.09923664122137404,-0.189453125,-0.970458984375,0.06689453125
778752	-0.6870229007633588,0.8778625954198473,-0.12213740458015267,-0.1962890625,-0.944580078125,0.0546875
792064	-0.1450381679389313,0.24427480916030533,-0.32061068702290074,-0.1904296875,-0.954833984375,0.052490234375
807424	-0.48091603053435117,0.20610687022900764,-0.19083969465648856,-0.197021484375,-0.955078125,0.031982421875
821248	-0.5877862595419847,-0.20610687022900764,-0.06870229007633588,-0.186767578125,-0.9560546875,0.029541015625
835072	-0.35877862595419846,-0.13740458015267176,-0.05343511450381679,-0.192626953125,-0.96533203125,0.02490234375
849408	-0.2824427480916031,0.42748091603053434,-0.29770992366412213,-0.21435546875,-0.94677734375,0.062255859375
863232	-0.3511450381679389,0.3816793893129771,-0.2900763358778626,-0.203125,-0.961181640625,0.03564453125
877056	0.13740458015267176,0.5267175572519084,-0.3053435114503817,-0.201171875,-0.950439453125,0.07421875
890368	-0.5114503816793893,0.6870229007633588,-0.6030534351145038,-0.177490234375,-0.960205078125,0.054443359375
905216	0.11450381679389313,-0.13740458015267176,-0.007633587786259542,-0.156005859375,-0.95458984375,0.0146484375
919040	-0.32061068702290074,0.6870229007633588,-0.3511450381679389,-0.187744140625,-0.953125,0.015380859375
932352	-0.5114503816793893,-0.03816793893129771,-0.061068702290076333,-0.18701171875,-0.96923828125,0.033935546875
946688	-0.35877862595419846,-0.22900763358778625,0.030534351145038167,-0.16650390625,-0.9599609375,0.01025390625
961024	-0.3053435114503817,-0.06870229007633588,-0.10687022900763359,-0.1787109375,-0.953125,0.041748046875
975360	0.13740458015267176,-0.0916030534351145,-0.03816793893129771,-0.18505859375,-0.96435546875,0.03857421875
989696	-0.1297709923664122,0.46564885496183206,-0.06870229007633588,-0.2001953125,-0.964599609375,0.0283203125
1004032	-0.4961832061068702,0.08396946564885496,-0.12213740458015267,-0.174072265625,-0.95751953125,0.013916015625
1017856	-0.2366412213740458,0.1984732824427481,-0.24427480916030533,-0.187255859375,-0.951416015625,0.044921875
1030656	-0.06870229007633588,0.44274809160305345,-0.1450381679389313,-0.189697265625,-0.966064453125,0.00146484375
1046016	-0.3969465648854962,-0.022900763358778626,-0.19083969465648856,-0.17431640625,-0.968505859375,0.043212890625
1059840	-0.4351145038167939,-0.44274809160305345,-0.16793893129770993,-0.175048828125,-0.954833984375,0.0439453125
1074176	-0.2900763358778626,0.31297709923664124,1.9389312977099236,-0.18896484375,-0.965576171875,0.0302734375
1087488	-0.3511450381679389,0.21374045801526717,-0.015267175572519083,-0.18896484375,-0.951904296875,0.02734375
1101312	-0.42748091603053434,0.15267175572519084,-0.16793893129770993,-0.1904296875,-0.965576171875,0.022216796875
1116672	-0.4732824427480916,0.2366412213740458,-0.3053435114503817,-0.16552734375,-0.96337890625,0.01171875
1129984	-0.1450381679389313,0.20610687022900764,0.007633587786259542,-0.1728515625,-0.959716796875,0.009765625
1144320	-0.12213740458015267,-0.1450381679389313,0.022900763358778626,-0.16650390625,-0.949462890625,0.010986328125
1158144	0.32061068702290074,0.8320610687022901,-0.15267175572519084,-0.211181640625,-0.958251953125,0.039794921875
1172480	0.5877862595419847,0.16030534351145037,-0.3053435114503817,-0.205078125,-0.948486328125,0.01904296875
1186304	-0.549618320610687,0.22137404580152673,0.015267175572519083,-0.18505859375,-0.95751953125,0.029296875
1200128	-0.31297709923664124,0.32061068702290074,-0.15267175572519084,-0.204345703125,-0.961669921875,0.000732421875
1214464	-0.11450381679389313,0.22900763358778625,-0.030534351145038167,-0.2001953125,-0.947021484375,0.015869140625
1228800	-0.07633587786259542,0.015267175572519083,0.030534351145038167,-0.208984375,-0.9560546875,0.061767578125
1242112	-0.37404580152671757,0.030534351145038167,-0.32061068702290074,-0.226318359375,-0.964599609375,0.027587890625
1256448	-0.07633587786259542,0.366412213740458,-0.2824427480916031,-0.18798828125,-0.95751953125,0.026611328125
1270784	-0.07633587786259542,0.16030534351145037,-0.3053435114503817,-0.1982421875,-0.955322265625,0.015869140625
1285632	-0.22137404580152673,-0.12213740458015267,-0.1984732824427481,-0.201904296875,-0.968994140625,0.041015625
1298944	-0.35877862595419846,-0.20610687022900764,-0.24427480916030533,-0.190673828125,-0.949951171875,0.026611328125
1313280	-0.2595419847328244,-0.7099236641221374,-0.0916030534351145,-0.17578125,-0.9677734375,0.009521484375
1326592	-0.6870229007633588,-0.11450381679389313,-0.12213740458015267,-0.19580078125,-0.954833984375,0.06103515625
1341440	-0.31297709923664124,0.46564885496183206,-0.2824427480916031,-0.198486328125,-0.94384765625,0.052734375
1355264	-0.44274809160305345,0.8091603053435115,-0.31297709923664124,-0.19580078125,-0.963623046875,0.007080078125
1370112	-0.2748091603053435,0.549618320610687,-0.1984732824427481,-0.196044921875,-0.95361328125,0.002197265625
1383424	-0.4122137404580153,0.2748091603053435,-0.17557251908396945,-0.194091796875,-0.964599609375,0.0234375
1397248	-1.9541984732824427,0.16793893129770993,-0.09923664122137404,-0.19775390625,-0.958251953125,0.01220703125
1411584	-0.06870229007633588,-0.07633587786259542,1.9389312977099236,-0.200439453125,-0.959716796875,0.0126953125
1425408	-0.21374045801526717,0.11450381679389313,-0.37404580152671757,-0.193359375,-0.955078125,0.028564453125
1439232	-0.45038167938931295,-0.26717557251908397,-0.33587786259541985,-0.19091796875,-0.9599609375,0.021728515625
1453568	-0.05343511450381679,-0.10687022900763359,-0.20610687022900764,-0.177001953125,-0.93994140625,0.049072265625
