0	-0.21374045801526717,0.3053435114503817,-0.20610687022900764,0.333984375,-0.959228515625,-0.02294921875
15360	-0.10687022900763359,0.10687022900763359,-0.07633587786259542,0.343994140625,-0.95556640625,-0.017333984375
28672	-0.33587786259541985,0.21374045801526717,-0.31297709923664124,0.335205078125,-0.967529296875,-0.00927734375
43008	-0.46564885496183206,-0.19083969465648856,-0.16793893129770993,0.343994140625,-0.932373046875,-0.017333984375
57344	-0.48854961832061067,0.1450381679389313,-0.12213740458015267,0.354248046875,-0.95166015625,-0.0205078125
71680	-0.2900763358778626,-0.26717557251908397,-0.09923664122137404,0.3486328125,-0.968017578125,-0.042236328125
85504	-0.5877862595419847,0.44274809160305345,0.08396946564885496,0.345947265625,-0.956787109375,-0.044189453125
99840	-0.7022900763358778,0.3969465648854962,-0.19083969465648856,0.338134765625,-0.9521484375,-0.042724609375
113664	-0.13740458015267176,-1.9541984732824427,-0.1297709923664122,0.34228515625,-0.954833984375,-0.039306640625
127488	-0.15267175572519084,-0.11450381679389313,-0.17557251908396945,0.33984375,-0.96337890625,-0.042236328125
141824	-0.19083969465648856,0.05343511450381679,-0.3435114503816794,0.328125,-0.95458984375,0.01513671875
155136	-0.0916030534351145,0.12213740458015267,-0.1984732824427481,0.337890625,-0.968017578125,-0.020751953125
168960	-0.3969465648854962,0.061068702290076333,-0.31297709923664124,0.349365234375,-0.950927734375,-0.01953125
183296	-0.26717557251908397,0.1450381679389313,-1.9541984732824427,0.336669921875,-0.952392578125,-0.041015625
197120	0,0.08396946564885496,-0.3511450381679389,0.32958984375,-0.9580078125,-0.010986328125
210944	-0.1984732824427481,-0.04580152671755725,-0.22900763358778625,0.34375,-0.9560546875,-0.026611328125
225280	-0.37404580152671757,0.24427480916030533,-0.183206106870229,0.353515625,-0.961181640625,-0.019775390625
238592	-0.6106870229007634,0.16030534351145037,-0.1984732824427481,0.34716796875,-0.956787109375,-0.027587890625
253440	-0.20610687022900764,0.22900763358778625,-0.16793893129770993,0.347412109375,-0.9443359375,-0.018310546875
267264	-0.3435114503816794,-0.1984732824427481,-0.2595419847328244,0.35595703125,-0.952392578125,-0.002685546875
280576	-0.17557251908396945,0.015267175572519083,-0.24427480916030533,0.330810546875,-0.95068359375,-0.034912109375
295424	-0.12213740458015267,0.09923664122137404,-0.1984732824427481,0.372802734375,-0.937744140625,-0.022216796875
309760	-0.22900763358778625,0.13740458015267176,-0.25190839694656486,0.3525390625,-0.947509765625,-0.031982421875
323072	-0.3969465648854962,0.21374045801526717,-0.1297709923664122,0.3505859375,-0.94873046875,-0.04052734375
337408	-0.44274809160305345,0.22137404580152673,1.9465648854961832,0.33642578125,-0.94482421875,-0.053466796875
352256	0.007633587786259542,0.05343511450381679,-0.2595419847328244,0.33056640625,-0.955322265625,-0.01806640625
368128	-0.05343511450381679,0.33587786259541985,-0.1450381679389313,0.35400390625,-0.9521484375,-0.038330078125
378880	-0.40458015267175573,0.08396946564885496,-0.22137404580152673,0.34814453125,-0.955810546875,-0.027587890625
394752	-0.2748091603053435,0.3053435114503817,-0.1450381679389313,0.354248046875,-0.9521484375,-0.01904296875
408064	-0.7175572519083969,0.20610687022900764,-0.015267175572519083,0.340576171875,-0.949462890625,-0.026123046875
422400	-0.06870229007633588,0.22900763358778625,-0.015267175572519083,0.354736328125,-0.945556640625,-0.0458984375
435712	-0.2824427480916031,-0.11450381679389313,-0.26717557251908397,0.353271484375,-0.9501953125,-0.029052734375
450048	-0.3893129770992366,-0.05343511450381679,-0.3511450381679389,0.33984375,-0.946044921875,-0.023681640625
464384	-0.4198473282442748,0.13740458015267176,-0.17557251908396945,0.35205078125,-0.948974609375,-0.021240234375
478720	-0.26717557251908397,0.29770992366412213,-0.0916030534351145,0.362060546875,-0.954833984375,-0.015380859375
492032	-0.3435114503816794,0.015267175572519083,-0.21374045801526717,0.372314453125,-0.945556640625,-0.015869140625
506368	-0.06870229007633588,-1.9541984732824427,-0.2366412213740458,0.34521484375,-0.949951171875,-0.025634765625
519680	0.007633587786259542,-0.16793893129770993,-0.183206106870229,0.343505859375,-0.95361328125,-0.024658203125
534016	-0.2900763358778626,0.45038167938931295,0.06870229007633588,0.359130859375,-0.939697265625,-0.04541015625
548352	-0.45038167938931295,0.1297709923664122,-0.11450381679389313,0.35546875,-0.961181640625,0.00732421875
562688	-0.3893129770992366,0.17557251908396945,-0.183206106870229,0.3486328125,-0.954833984375,-0.02001953125
576512	-0.1450381679389313,-0.11450381679389313,-0.19083969465648856,0.34912109375,-0.95166015625,-0.000732421875
590336	-0.08396946564885496,0.1984732824427481,-0.12213740458015267,0.359130859375,-0.943115234375,-0.02294921875
604672	-0.3511450381679389,0.12213740458015267,-0.1984732824427481,0.361328125,-0.936767578125,-0.019775390625
619008	-0.20610687022900764,-0.07633587786259542,-0.19083969465648856,0.34326171875,-0.953369140625,-0.01806640625
632832	-0.33587786259541985,0.2824427480916031,-0.19083969465648856,0.351806640625,-0.96044921875,-0.031005859375
647168	-0.3282442748091603,0.03816793893129771,-0.1984732824427481,0.355712890625,-0.960205078125,-0.030517578125
660480	0.03816793893129771,0.183206106870229,-0.183206106870229,0.34912109375,-0.954345703125,-0.03173828125
673792	-0.25190839694656486,0.015267175572519083,-0.22137404580152673,0.35546875,-0.947021484375,-0.00244140625
688640	-0.46564885496183206,0.11450381679389313,-0.2824427480916031,0.341064453125,-0.952880859375,-0.000732421875
702464	-0.29770992366412213,0.061068702290076333,-0.22900763358778625,0.343505859375,-0.9423828125,-0.009765625
716800	-0.4122137404580153,0.31297709923664124,-0.09923664122137404,0.3447265625,-0.95751953125,-0.033203125
730624	-0.1984732824427481,-0.015267175572519083,-0.1297709923664122,0.356689453125,-0.958251953125,-0.004150390625
