0	-0.46564885496183206,0.0916030534351145,-0.007633587786259542,1.048095703125,-0.064208984375,-0.098876953125
14336	-0.5190839694656488,0.2595419847328244,-0.17557251908396945,1.041748046875,-0.06689453125,-0.1240234375
28672	-0.1450381679389313,0.33587786259541985,-0.1984732824427481,1.055908203125,-0.080078125,-0.109619140625
43008	-0.1450381679389313,-0.08396946564885496,-0.061068702290076333,1.048583984375,-0.079345703125,-0.12451171875
56320	0.061068702290076333,0.22137404580152673,-0.3435114503816794,1.041259765625,-0.0888671875,-0.129638671875
70656	-0.6870229007633588,0.7633587786259542,-0.3511450381679389,1.040283203125,-0.089111328125,-0.092041015625
85504	-0.3053435114503817,0,-0.12213740458015267,1.041748046875,-0.078125,-0.11474609375
99328	-0.24427480916030533,0.1297709923664122,-0.2748091603053435,1.043212890625,-0.076171875,-0.107421875
113152	-0.33587786259541985,0.2595419847328244,-0.05343511450381679,1.051513671875,-0.08935546875,-0.0830078125
128512	-0.2748091603053435,0.19083969465648856,-0.183206106870229,1.020751953125,-0.080322265625,-0.141357421875
134144	-0.33587786259541985,0.2824427480916031,-0.17557251908396945,1.041259765625,-0.0869140625,-0.12109375
138752	-0.366412213740458,-0.03816793893129771,-0.11450381679389313,1.044189453125,-0.093505859375,-0.117919921875
168960	-0.48091603053435117,0.45038167938931295,-0.26717557251908397,1.059814453125,-0.0849609375,-0.143798828125
182784	0,-0.3893129770992366,-0.183206106870229,1.027587890625,-0.08251953125,-0.13134765625
197120	-0.20610687022900764,0.061068702290076333,-0.20610687022900764,1.041748046875,-0.079345703125,-0.14208984375
210944	-0.2366412213740458,0.24427480916030533,-0.1984732824427481,1.02587890625,-0.09375,-0.139892578125
224768	-0.3816793893129771,0.1297709923664122,-0.15267175572519084,1.052490234375,-0.081787109375,-0.13720703125
239104	-0.22137404580152673,0.4961832061068702,-0.10687022900763359,1.053955078125,-0.08740234375,-0.1025390625
252928	-0.16030534351145037,0.32061068702290074,-0.2595419847328244,1.037353515625,-0.085693359375,-0.153564453125
267264	-0.13740458015267176,-0.1297709923664122,-0.16030534351145037,1.044189453125,-0.0849609375,-0.13232421875
280576	-0.366412213740458,-0.1297709923664122,-0.1450381679389313,1.0615234375,-0.08447265625,-0.12158203125
295424	-0.37404580152671757,0.05343511450381679,-0.10687022900763359,1.064208984375,-0.073486328125,-0.12841796875
308736	-0.46564885496183206,0.3816793893129771,-0.22900763358778625,1.054931640625,-0.093505859375,-0.121826171875
323072	-0.42748091603053434,0.4198473282442748,-0.22900763358778625,1.061767578125,-0.076416015625,-0.14501953125
337408	-0.3816793893129771,0.24427480916030533,-0.25190839694656486,1.02392578125,-0.080810546875,-0.131591796875
350720	-0.2900763358778626,-0.015267175572519083,-0.12213740458015267,1.041748046875,-0.076416015625,-0.1357421875
365056	-0.366412213740458,-0.21374045801526717,-0.05343511450381679,1.054443359375,-0.091796875,-0.146240234375
379392	-0.5267175572519084,0.22900763358778625,-0.030534351145038167,1.041015625,-0.072509765625,-0.138427734375
393216	-0.16030534351145037,0.16793893129770993,-0.31297709923664124,1.017578125,-0.083251953125,-0.14990234375
408064	0.12213740458015267,0.19083969465648856,-0.25190839694656486,1.03564453125,-0.090576171875,-0.124755859375
421376	-0.3282442748091603,0.12213740458015267,-0.1984732824427481,1.03466796875,-0.0927734375,-0.155517578125
435712	-0.25190839694656486,0.022900763358778626,-0.17557251908396945,1.05224609375,-0.07177734375,-0.130859375
449024	-0.183206106870229,-0.007633587786259542,-0.12213740458015267,1.059814453125,-0.09033203125,-0.12939453125
463872	-0.22900763358778625,0.1297709923664122,-0.09923664122137404,1.044677734375,-0.081298828125,-0.13818359375
477696	-0.3282442748091603,0.030534351145038167,-0.12213740458015267,1.05810546875,-0.095458984375,-0.1220703125
492544	-0.32061068702290074,0.1297709923664122,-0.16030534351145037,1.04736328125,-0.067138671875,-0.12939453125
506368	-0.5725190839694656,0.45038167938931295,-0.022900763358778626,1.06201171875,-0.09375,-0.08837890625
520704	-0.22900763358778625,0.12213740458015267,-0.19083969465648856,1.031982421875,-0.090576171875,-0.135498046875
534528	-0.11450381679389313,0.10687022900763359,-0.3435114503816794,1.043212890625,-0.07177734375,-0.131103515625
548352	-0.42748091603053434,0.15267175572519084,-0.061068702290076333,1.040771484375,-0.092041015625,-0.130126953125
562688	-0.2824427480916031,0.06870229007633588,-0.13740458015267176,1.038818359375,-0.08447265625,-0.131103515625
576000	-0.1984732824427481,-0.08396946564885496,-0.09923664122137404,1.04931640625,-0.082763671875,-0.1396484375
590336	-0.4198473282442748,0.48091603053435117,-0.22900763358778625,1.041015625,-0.075927734375,-0.14599609375
604160	-0.12213740458015267,0.007633587786259542,-0.15267175572519084,1.038818359375,-0.08447265625,-0.150634765625
618496	-0.24427480916030533,-0.3511450381679389,-0.05343511450381679,1.041748046875,-0.089111328125,-0.134033203125
632320	-0.32061068702290074,0.3969465648854962,-0.03816793893129771,1.038330078125,-0.081787109375,-0.143310546875
646144	-0.33587786259541985,0.17557251908396945,-0.06870229007633588,1.062255859375,-0.105712890625,-0.11572265625
660480	-0.46564885496183206,0.366412213740458,-0.31297709923664124,1.051513671875,-0.07958984375,-0.1259765625
674304	-0.24427480916030533,0.17557251908396945,-0.1984732824427481,1.04833984375,-0.083740234375,-0.138916015625
688128	-0.2900763358778626,0.05343511450381679,-0.11450381679389313,1.054443359375,-0.08154296875,-0.139892578125
701952	-0.32061068702290074,0.2366412213740458,-0.1984732824427481,1.035888671875,-0.077880859375,-0.148681640625
715264	-0.22900763358778625,0.12213740458015267,-0.17557251908396945,1.046630859375,-0.085693359375,-0.13671875
729600	-0.24427480916030533,0.08396946564885496,-0.2595419847328244,1.058349609375,-0.083740234375,-0.136474609375
743936	-0.21374045801526717,0.022900763358778626,-0.16030534351145037,1.062255859375,-0.08251953125,-0.13671875
757760	-0.15267175572519084,0.030534351145038167,0.03816793893129771,1.063720703125,-0.0888671875,-0.123291015625
771584	-0.4122137404580153,0.5343511450381679,-0.26717557251908397,1.073486328125,-0.08984375,-0.146484375
785920	-0.21374045801526717,0.3282442748091603,-0.22137404580152673,1.058349609375,-0.085205078125,-0.095703125
799744	-0.15267175572519084,0.2366412213740458,-0.08396946564885496,1.06103515625,-0.106201171875,-0.10205078125
814080	-0.2824427480916031,-0.2366412213740458,-0.11450381679389313,1.061767578125,-0.0859375,-0.107666015625
827904	-0.07633587786259542,-0.4580152671755725,0.022900763358778626,1.05224609375,-0.078857421875,-0.113037109375
841728	-0.5801526717557252,0.40458015267175573,-0.15267175572519084,1.043701171875,-0.08935546875,-0.113037109375
865792	-0.4198473282442748,0.16030534351145037,-0.13740458015267176,1.04150390625,-0.096923828125,-0.120849609375
