3072	0.29770992366412213,-0.16793893129770993,-0.6412213740458015,0.4052734375,-0.9296875,-0.04443359375
16896	0.06870229007633588,-3.183206106870229,1.916030534351145,0.46435546875,-0.9130859375,-0.0732421875
30208	1.3435114503816794,-2.3206106870229006,1.0229007633587786,0.376953125,-0.9306640625,-0.06494140625
45568	-0.03816793893129771,-0.44274809160305345,0.32061068702290074,0.334228515625,-0.956298828125,-0.038330078125
59392	-0.4198473282442748,1.9389312977099236,-0.35877862595419846,0.223876953125,-1.0048828125,-0.0947265625
73216	2.0229007633587788,0.9083969465648855,-0.05343511450381679,0.302490234375,-0.91015625,0.014892578125
88064	0.25190839694656486,0.7862595419847328,-0.2748091603053435,0.34375,-0.9775390625,-0.003173828125
101376	-0.22137404580152673,0.7404580152671756,-0.0916030534351145,0.351806640625,-0.96484375,0.018798828125
115200	0.2824427480916031,-0.3435114503816794,1.9389312977099236,0.32763671875,-0.92578125,-0.0234375
130048	-0.5877862595419847,-0.4580152671755725,-0.08396946564885496,0.323486328125,-0.95703125,0.00439453125
143360	-0.15267175572519084,0.31297709923664124,0.16793893129770993,0.353515625,-0.9521484375,0.001220703125
158208	0.11450381679389313,-0.22900763358778625,0.21374045801526717,0.31787109375,-0.927001953125,0.000732421875
172032	-0.3816793893129771,0.030534351145038167,-0.3435114503816794,0.318359375,-0.958740234375,0.03173828125
185856	0.16030534351145037,0.4122137404580153,-0.24427480916030533,0.337646484375,-0.97900390625,0.01806640625
200704	-0.4961832061068702,0.6106870229007634,-0.31297709923664124,0.330078125,-0.936767578125,-0.005859375
214528	-0.4351145038167939,0.5038167938931297,0.04580152671755725,0.3291015625,-0.961669921875,-0.006103515625
228352	1.9465648854961832,-0.29770992366412213,0.05343511450381679,0.326904296875,-0.990234375,-0.007568359375
242688	0.1984732824427481,-0.24427480916030533,0.08396946564885496,0.321044921875,-0.94140625,-0.016845703125
256512	-0.44274809160305345,-0.22137404580152673,-0.22900763358778625,0.3056640625,-0.957275390625,0.00244140625
269824	-0.32061068702290074,0.17557251908396945,-0.07633587786259542,0.31640625,-0.958984375,0.01416015625
284160	-0.4580152671755725,0.2366412213740458,-0.2595419847328244,0.33837890625,-0.9833984375,-0.005126953125
298496	-0.10687022900763359,0.6641221374045801,-0.15267175572519084,0.314453125,-0.940673828125,-0.014892578125
311296	0,0.6259541984732825,-0.1297709923664122,0.322265625,-0.951904296875,0.009521484375
326656	-0.5038167938931297,0.21374045801526717,-0.26717557251908397,0.307373046875,-0.954833984375,0.00341796875
338944	-0.7251908396946565,-0.11450381679389313,-0.24427480916030533,0.3017578125,-0.96142578125,-0.0029296875
355840	-0.21374045801526717,-0.32061068702290074,-0.030534351145038167,0.323486328125,-0.951416015625,-0.0185546875
369664	-0.31297709923664124,-0.4198473282442748,-0.19083969465648856,0.30224609375,-0.957763671875,-0.02197265625
383488	-0.16030534351145037,0.48854961832061067,-0.05343511450381679,0.320556640625,-0.951416015625,-0.0146484375
398336	-0.4122137404580153,0.0916030534351145,-0.22137404580152673,0.3056640625,-0.9580078125,-0.0068359375
412672	-0.35877862595419846,0.4732824427480916,-0.2824427480916031,0.324462890625,-0.939208984375,-0.00244140625
426496	-0.1450381679389313,0.3282442748091603,-0.31297709923664124,0.31787109375,-0.957763671875,0.006103515625
440832	-0.3511450381679389,0.549618320610687,-0.16030534351145037,0.326171875,-0.954833984375,-0.006591796875
454656	-0.17557251908396945,0.08396946564885496,-0.030534351145038167,0.34228515625,-0.9462890625,-0.022216796875
468992	-0.3969465648854962,0.2366412213740458,-0.3969465648854962,0.316162109375,-0.951904296875,-0.0126953125
482816	-0.3053435114503817,-0.35877862595419846,-0.0916030534351145,0.329833984375,-0.958740234375,-0.013427734375
496640	0.11450381679389313,-0.2900763358778626,-0.07633587786259542,0.332763671875,-0.966796875,-0.002685546875
510464	-0.24427480916030533,0.03816793893129771,-0.06870229007633588,0.322509765625,-0.95068359375,-0.00830078125
524800	-0.0916030534351145,0.3893129770992366,-0.24427480916030533,0.30029296875,-0.982666015625,0.0068359375
539136	-0.1450381679389313,0.4122137404580153,-0.1450381679389313,0.32080078125,-0.9609375,0.010986328125
552448	-0.44274809160305345,0.4580152671755725,-0.2824427480916031,0.317626953125,-0.968017578125,0.005859375
567808	-0.2366412213740458,-0.17557251908396945,-0.10687022900763359,0.299560546875,-0.94677734375,0
581632	-0.1297709923664122,-0.015267175572519083,-0.19083969465648856,0.330322265625,-0.965576171875,-0.023193359375
595456	-0.21374045801526717,-0.030534351145038167,-0.2366412213740458,0.339111328125,-0.952880859375,0.006103515625
609792	-0.4580152671755725,-0.061068702290076333,-0.25190839694656486,0.3291015625,-0.96435546875,-0.018310546875
624128	-0.24427480916030533,0.37404580152671757,-0.04580152671755725,0.326416015625,-0.960205078125,0.001708984375
637952	-0.10687022900763359,-0.06870229007633588,-0.183206106870229,0.322265625,-0.949951171875,-0.022705078125
651776	-0.183206106870229,0.5038167938931297,-0.20610687022900764,0.333251953125,-0.967529296875,0.007080078125
665600	-0.3053435114503817,0.22900763358778625,-0.2824427480916031,0.33056640625,-0.935302734375,0.012939453125
680448	-0.48091603053435117,0.22900763358778625,-0.16030534351145037,0.35888671875,-0.94091796875,-0.01025390625
694272	0.05343511450381679,-0.25190839694656486,-0.03816793893129771,0.329833984375,-0.954833984375,0.0205078125
708608	-0.15267175572519084,-0.5419847328244275,0.09923664122137404,0.32958984375,-0.9599609375,-0.004638671875
722944	-0.46564885496183206,0.3511450381679389,-0.16793893129770993,0.3291015625,-0.960693359375,0.009765625
736768	-0.25190839694656486,0.24427480916030533,-0.007633587786259542,0.313232421875,-0.965087890625,-0.00146484375
750592	-0.3969465648854962,0.17557251908396945,-0.37404580152671757,0.324462890625,-0.96240234375,0.009033203125
764928	-0.5648854961832062,0.5038167938931297,-0.2900763358778626,0.33154296875,-0.945556640625,-0.013427734375
778752	-0.5801526717557252,0.16793893129770993,-0.19083969465648856,0.339111328125,-0.959716796875,0.007568359375
792064	-0.6183206106870229,0.2824427480916031,-0.0916030534351145,0.315673828125,-0.947265625,0.00732421875
806400	-0.3816793893129771,1.9465648854961832,-0.24427480916030533,0.309814453125,-0.96044921875,0.001220703125
