9216	-0.31297709923664124,0.030534351145038167,-0.09923664122137404,-0.404052734375,-0.85986328125,0.162841796875
23552	-0.3816793893129771,0.3435114503816794,-0.19083969465648856,-0.385498046875,-0.85400390625,0.128662109375
36864	-0.1297709923664122,-0.06870229007633588,-0.11450381679389313,-0.396240234375,-0.85986328125,0.15869140625
51200	-0.44274809160305345,-0.015267175572519083,-0.22137404580152673,-0.388427734375,-0.853515625,0.1826171875
64512	-0.4122137404580153,0.24427480916030533,-0.29770992366412213,-0.39013671875,-0.841552734375,0.164794921875
78848	-0.17557251908396945,0.061068702290076333,-0.2748091603053435,-0.405029296875,-0.86669921875,0.164794921875
93184	-0.366412213740458,0.1984732824427481,-0.21374045801526717,-0.388427734375,-0.856201171875,0.1728515625
107520	-0.25190839694656486,0.20610687022900764,-0.03816793893129771,-0.38525390625,-0.8564453125,0.158203125
120832	-0.33587786259541985,-0.16793893129770993,-0.04580152671755725,-0.374755859375,-0.863037109375,0.120849609375
135680	0.24427480916030533,0.5572519083969466,-0.06870229007633588,-0.350830078125,-0.85693359375,0.1669921875
149504	-0.6870229007633588,0.2595419847328244,-0.2595419847328244,-0.377685546875,-0.8623046875,0.16796875
162816	-0.2748091603053435,0.3435114503816794,-0.16793893129770993,-0.379638671875,-0.849365234375,0.146728515625
178176	-0.09923664122137404,0.09923664122137404,0.03816793893129771,-0.367431640625,-0.84912109375,0.15478515625
191488	-0.3511450381679389,0.015267175572519083,-0.06870229007633588,-0.379150390625,-0.85595703125,0.155517578125
204800	-0.15267175572519084,0.11450381679389313,-0.1450381679389313,-0.39306640625,-0.859375,0.159912109375
219136	-0.48091603053435117,0.22900763358778625,-0.26717557251908397,-0.402099609375,-0.85693359375,0.1572265625
233472	-0.3053435114503817,0.022900763358778626,-0.17557251908396945,-0.40380859375,-0.848388671875,0.164306640625
247808	-0.6030534351145038,0.17557251908396945,-0.10687022900763359,-0.38818359375,-0.8564453125,0.150634765625
261120	0.08396946564885496,0.007633587786259542,-0.03816793893129771,-0.372314453125,-0.85986328125,0.104736328125
275456	-0.022900763358778626,-0.061068702290076333,-0.183206106870229,-0.38330078125,-0.852783203125,0.1728515625
288768	-0.3816793893129771,0.32061068702290074,-0.33587786259541985,-0.381591796875,-0.8583984375,0.157470703125
303104	-0.17557251908396945,0.11450381679389313,-0.1297709923664122,-0.372802734375,-0.846923828125,0.156982421875
316416	-0.4198473282442748,0.09923664122137404,-0.183206106870229,-0.38720703125,-0.844482421875,0.1640625
330752	-0.46564885496183206,0.015267175572519083,-0.06870229007633588,-0.38525390625,-0.853271484375,0.171142578125
344576	-0.08396946564885496,0.09923664122137404,-0.11450381679389313,-0.38427734375,-0.859375,0.1669921875
358400	-0.3893129770992366,0.05343511450381679,-0.19083969465648856,-0.387939453125,-0.85400390625,0.1640625
372736	-0.5114503816793893,0.2366412213740458,-0.2900763358778626,-0.388427734375,-0.872802734375,0.185546875
386048	-0.20610687022900764,0.10687022900763359,0.015267175572519083,-0.389892578125,-0.859130859375,0.146484375
400384	-0.45038167938931295,-0.1450381679389313,-0.07633587786259542,-0.37109375,-0.866455078125,0.139404296875
414720	-0.1984732824427481,0.1450381679389313,-0.15267175572519084,-0.37841796875,-0.868408203125,0.156494140625
428032	-0.46564885496183206,0.2824427480916031,-0.2900763358778626,-0.3759765625,-0.8486328125,0.17626953125
443392	-0.16030534351145037,-0.10687022900763359,-0.17557251908396945,-0.386962890625,-0.857421875,0.173583984375
456704	-0.6183206106870229,0.11450381679389313,-0.09923664122137404,-0.360595703125,-0.85400390625,0.1650390625
471040	0.07633587786259542,0.32061068702290074,0.007633587786259542,-0.383056640625,-0.852294921875,0.206787109375
484352	-0.2595419847328244,0.015267175572519083,-0.17557251908396945,-0.378173828125,-0.84765625,0.185302734375
498688	-0.1450381679389313,0.2595419847328244,-0.31297709923664124,-0.394775390625,-0.85107421875,0.16015625
512512	-0.06870229007633588,0.0916030534351145,-0.20610687022900764,-0.373291015625,-0.857666015625,0.172607421875
527360	-0.40458015267175573,0.19083969465648856,-0.183206106870229,-0.369384765625,-0.851806640625,0.161376953125
540672	-0.21374045801526717,0.015267175572519083,1.9465648854961832,-0.387939453125,-0.844970703125,0.17626953125
555520	-0.1450381679389313,0.04580152671755725,-0.0916030534351145,-0.38427734375,-0.850341796875,0.177001953125
569856	-0.1984732824427481,0.007633587786259542,-0.25190839694656486,-0.380615234375,-0.84814453125,0.1865234375
583168	-0.3053435114503817,0.183206106870229,-0.2366412213740458,-0.381103515625,-0.846923828125,0.185302734375
597504	-0.24427480916030533,0.04580152671755725,-0.16793893129770993,-0.3671875,-0.844970703125,0.16845703125
611840	-0.21374045801526717,0.10687022900763359,-0.09923664122137404,-0.381591796875,-0.85595703125,0.18994140625
625664	-0.21374045801526717,0.19083969465648856,-0.12213740458015267,-0.38427734375,-0.8486328125,0.187255859375
639488	-0.4580152671755725,-0.19083969465648856,-0.3282442748091603,-0.3818359375,-0.84716796875,0.1611328125
652288	0.05343511450381679,0.09923664122137404,-0.31297709923664124,-0.379150390625,-0.8486328125,0.158935546875
667648	-0.3282442748091603,0.2900763358778626,-0.183206106870229,-0.369384765625,-0.83203125,0.158447265625
681472	-0.2366412213740458,0.45038167938931295,-0.061068702290076333,-0.376708984375,-0.85546875,0.19091796875
695808	-0.4351145038167939,0.04580152671755725,-0.0916030534351145,-0.38623046875,-0.85546875,0.193603515625
709632	0.12213740458015267,0.31297709923664124,-0.20610687022900764,-0.402587890625,-0.844482421875,0.24658203125
722432	-0.1297709923664122,0.1450381679389313,-0.21374045801526717,-0.379150390625,-0.855712890625,0.171875
737792	-0.11450381679389313,0.2824427480916031,-0.07633587786259542,-0.3779296875,-0.84912109375,0.1513671875
752128	-0.31297709923664124,0.03816793893129771,-0.05343511450381679,-0.383544921875,-0.858642578125,0.17431640625
766464	-0.24427480916030533,0.2824427480916031,-0.1297709923664122,-0.388427734375,-0.852783203125,0.189208984375
779776	-0.06870229007633588,0.10687022900763359,-0.2748091603053435,-0.385498046875,-0.8505859375,0.173583984375
795648	-0.40458015267175573,0.3816793893129771,-0.24427480916030533,-0.397705078125,-0.857666015625,0.177734375
807424	-0.37404580152671757,0.10687022900763359,-0.10687022900763359,-0.37548828125,-0.8466796875,0.164306640625
821248	-0.45038167938931295,0.22137404580152673,-0.04580152671755725,-0.379150390625,-0.847900390625,0.168701171875
