12800	-0.2900763358778626,-0.08396946564885496,-0.07633587786259542,-0.64501953125,-0.523193359375,0.36376953125
26624	-0.5343511450381679,0.0916030534351145,-0.022900763358778626,-0.65625,-0.52880859375,0.374267578125
40960	-0.3282442748091603,-0.015267175572519083,-0.21374045801526717,-0.64208984375,-0.546142578125,0.366943359375
54784	0.1450381679389313,-0.2595419847328244,-0.2366412213740458,-0.6376953125,-0.52685546875,0.386474609375
68608	-0.5267175572519084,0.030534351145038167,-0.22900763358778625,-0.619140625,-0.532470703125,0.403564453125
82944	-0.0916030534351145,0.3511450381679389,-0.22900763358778625,-0.619873046875,-0.54541015625,0.40576171875
97280	-0.2748091603053435,0.26717557251908397,-0.16030534351145037,-0.62158203125,-0.541259765625,0.389404296875
111616	-0.33587786259541985,0.24427480916030533,-0.24427480916030533,-0.622314453125,-0.54443359375,0.377685546875
125952	-0.06870229007633588,0.022900763358778626,-0.20610687022900764,-0.621826171875,-0.549560546875,0.36328125
138752	-0.20610687022900764,0.022900763358778626,-0.13740458015267176,-0.616455078125,-0.546142578125,0.402099609375
152576	0.015267175572519083,-0.10687022900763359,-0.4122137404580153,-0.6240234375,-0.529052734375,0.3818359375
166912	-0.2595419847328244,0.007633587786259542,-0.22137404580152673,-0.613525390625,-0.536865234375,0.39501953125
181248	-0.3511450381679389,0.21374045801526717,-0.05343511450381679,-0.618408203125,-0.55322265625,0.382568359375
194560	-0.4351145038167939,-1.9541984732824427,-0.07633587786259542,-0.619384765625,-0.53759765625,0.382080078125
208896	-0.22900763358778625,0.3435114503816794,-0.07633587786259542,-0.63037109375,-0.53173828125,0.375244140625
222208	-0.2366412213740458,0.1984732824427481,-0.183206106870229,-0.626708984375,-0.545166015625,0.3857421875
236032	-0.3282442748091603,0.030534351145038167,-0.24427480916030533,-0.6240234375,-0.5517578125,0.36669921875
250368	-0.5038167938931297,0.10687022900763359,0.015267175572519083,-0.638427734375,-0.56005859375,0.384033203125
